genotype,plant_id,spp,nTreatment,temp,phoper,aamb,amax,Carbon,ce,co2comp,co2sat,dr,D13C,lcp,LMA,lsp,jmax,Nitrogen,netqe,pnue,SLA,vcmax
pa,pal,pa,low,32,14,5.542625879,13.42016189,43.19665774,0.025723619,71.81035899,593.5161894,-1.033370003,-31.64529582,24.47279357,0.002526316,171.5253053,53.4564342,2.461487302,0.037691474,48.40405987,395.8333333,21.5411606
pa5,pa5l,pa,low,32,14,7.077033516,16.89187652,34.48293183,0.026890762,76.73629073,704.9028131,-1.113087391,-30.39005584,22.91229245,0.00288023,185.637637,66.2437409,1.729289911,0.043490665,77.4726918,347.1945137,20.2154712
pa14,pa14l,pa,low,32,14,8.082797847,18.33589662,62.08247095,0.039989011,59.03656622,517.5599476,-0.874258513,-31.5574928,11.20391208,0.003801909,158.6430669,71.26653526,5.373525254,0.054821244,46.23706625,263.0257802,23.80619323
pa7,pa7l,pa,low,32,14,8.724293591,20.67601342,42.93743497,0.047589976,58.04124649,492.5027705,-0.898773515,-30.81783525,8.79737348,0.003065937,150.8198002,80.4051348,2.192813514,0.061428986,129.7673061,326.1645193,25.9316381
pa6,pa6l,pa,low,32,14,8.772628321,17.52338906,40.47182978,0.029576573,57.20456412,649.6798761,-0.919900809,-30.64483807,12.7455594,0.003201717,137.2782547,68.61348197,2.333509758,0.070444378,115.0893209,312.3324397,25.22548317
pa5,pa5h,pa,high,32,10,5.949632748,14.7030868,47.46829697,0.04477128,52.13437994,380.5388131,-0.795821364,-29.61916974,17.52623889,0.003446855,178.0818381,52.9485822,4.271406117,0.037056526,31.77833319,290.1195219,23.2507128
pa3,pa3h,pa,high,32,10,7.663596163,19.29322515,49.99787586,0.049440901,74.50142404,464.7294522,-1.567766095,-29.05685244,33.5469299,0.003500545,217.9738437,71.3081407,3.971620617,0.041553567,54.17862521,285.6697819,22.223052
pa14,pa14h,pa,high,32,10,8.851953019,24.45277047,47.24969543,0.051615304,64.56203506,538.3124283,-1.454287123,-29.72865299,24.51093788,0.003494191,197.4617314,92.0561546,4.340866788,0.051181916,62.02237189,286.1892583,28.3471608
pa15,pa15h,pa,high,32,10,11.95727995,25.64283678,49.60981351,0.062637727,70.36343193,479.746688,-1.905366412,-29.96106825,26.97252374,0.002235247,232.8590777,104.664472,4.372598661,0.058077032,122.3396589,447.3778575,37.285347
pa7,pa7h,pa,high,32,10,11.97728446,24.24900322,50.27815253,0.057755708,65.6325961,485.4872593,-1.379116276,-30.17176678,23.87057965,0.002639346,260.6088256,99.06860323,4.653116272,0.050592942,97.52547245,378.8816775,35.53639008
pa6,pa6h,pa,high,32,10,13.5270279,21.37247895,50.64805333,0.044433895,67.19080805,548.1857551,-1.574395328,-29.89244709,23.87470354,0.002593484,282.0544195,84.76261055,4.258359001,0.052393845,122.4831849,385.5816494,29.02606217
pa6,pa6m,pa,med,32,10,6.855499946,18.44049847,48.30487202,0.038132786,50.36788083,533.9543322,-1.227302943,-30.3931578,40.10636501,0.002913776,289.9192373,64.2524258,3.975985563,0.027442541,71.19992423,343.1972789,22.8757104
pa14,pa14m,pa,med,32,10,8.994117694,17.26810598,48.97131304,0.04249626,52.72972552,459.0738606,-1.1759098,-29.81108302,27.69135928,0.003655313,287.0838653,106.119134,3.904864015,0.034673776,76.71383476,273.5744089,45.21095191
pa5,pa5m,pa,med,32,10,10.8075985,23.70274703,46.67358629,0.067283642,67.56416179,419.8451361,-1.721014672,-30.7747775,28.57841584,0.003519034,228.8097452,96.2396428,4.057550293,0.053975562,80.84527527,284.1688654,39.303704
pa7,pa7m,pa,med,32,10,12.78455945,22.16691143,30.31783669,0.058393485,69.79408951,449.4068366,-1.562609391,-29.27178563,26.58377617,0.002845263,292.1888091,95.4960989,2.801654717,0.048133724,160.3794662,351.4613779,35.9017627
