plant_id,spp,nTreatment,temp,phoper,pfd,photo,cond,ci,,
csw7low,cs,low,32,10,200,0.734473878,0.185755239,377.316272,,
csw7low,cs,low,32,10,100,1.38285608,0.173757127,369.9678954,,
csw7low,cs,low,32,10,75,0.435806458,0.156906534,379.5817674,,
csw7low,cs,low,32,10,50,0.051260669,0.147643092,383.9638254,,
csw7low,cs,low,32,10,25,-0.939065398,0.141252575,396.5290791,,
csw7low,cs,low,32,10,0,-1.654920116,0.128811116,407.1500933,,
csw2low,cs,low,32,10,1200,6.230484744,0.427170407,352.6567178,,
csw2low,cs,low,32,10,1000,6.793688637,0.381290107,346.5290134,,
csw2low,cs,low,32,10,500,4.93486828,0.325153841,353.7864816,,
csw2low,cs,low,32,10,200,3.220019038,0.28554202,362.7579141,,
csw2low,cs,low,32,10,100,2.486922257,0.270625221,367.13142,,
csw2low,cs,low,32,10,75,2.00682083,0.238583633,369.0573185,,
csw2low,cs,low,32,10,50,1.490531899,0.226484622,372.6671456,,
csw2low,cs,low,32,10,25,0.093878139,0.210784176,384.515152,,
csw2low,cs,low,32,10,0,-1.756268706,0.195906561,402.0003434,,
csw1low,cs,low,32,10,1200,4.070719217,0.168291284,338.1413305,,
csw1low,cs,low,32,10,1000,4.306479367,0.13221542,324.3920726,,
csw1low,cs,low,32,10,500,2.381991189,0.106555432,343.9245923,,
csw1low,cs,low,32,10,200,1.634630316,0.088274399,351.4611376,,
csw1low,cs,low,32,10,100,0.524544168,0.078188778,371.9530663,,
csw1low,cs,low,32,10,75,-2.681017926,0.072184775,445.9656671,,
csw1low,cs,low,32,10,50,0.652920854,0.064783126,366.4613932,,
csw1low,cs,low,32,10,25,-0.516734641,0.059815689,397.8489583,,
csw1low,cs,low,32,10,0,-0.849392997,0.057043677,408.1380288,,
csw4low,cs,low,32,10,1200,5.50823416,0.124692689,300.4253075,,
csw4low,cs,low,32,10,1000,4.036058052,0.12766046,322.7400921,,
csw4low,cs,low,32,10,500,5.241006237,0.128886079,308.0643813,,
csw4low,cs,low,32,10,200,3.647627674,0.123371617,330.0130215,,
csw4low,cs,low,32,10,100,1.039522217,0.123853794,367.9148857,,
csw4low,cs,low,32,10,75,0.863651831,0.128237902,371.4905089,,
csw4low,cs,low,32,10,50,-0.019999741,0.128211816,384.0292584,,
